X,Y,Label
2.2508,-0.065367,Class 1
2.3528,-0.18991,Class 1
2.2438,0.018672,Class 1
1.061,0.88506,Class 1
2.3044,0.072602,Class 1
0.7369,0.80068,Class 1
1.9223,0.86036,Class 1
2.2195,0.44384,Class 1
0.15927,0.7167,Class 1
0.25464,0.58381,Class 1
1.4466,0.81897,Class 1
1.1232,0.98891,Class 1
2.1941,0.15587,Class 1
1.3998,0.9961,Class 1
0.22732,0.69038,Class 1
0.47028,0.89145,Class 1
2.1078,0.26285,Class 1
1.0275,1.1084,Class 1
2.4608,0.048882,Class 1
0.53518,0.84685,Class 1
0.13273,0.77807,Class 1
1.6513,0.76868,Class 1
-0.0538,0.22233,Class 1
1.7216,0.92416,Class 1
-0.23771,-0.012983,Class 1
1.3233,1.1449,Class 1
0.009195,0.69888,Class 1
1.4541,0.82798,Class 1
2.144,0.49684,Class 1
1.4797,1.025,Class 1
-0.29104,-0.10586,Class 1
0.43722,0.8646,Class 1
1.0752,0.89767,Class 1
-0.33101,-0.24654,Class 1
2.2266,0.23846,Class 1
0.13054,0.53372,Class 1
0.13338,0.83138,Class 1
0.6948,1.0493,Class 1
1.5985,1.0463,Class 1
0.043377,0.65975,Class 1
0.1988,0.42195,Class 1
2.3193,-0.16774,Class 1
0.38627,0.91107,Class 1
0.96277,1.1905,Class 1
0.59278,0.79294,Class 1
1.715,0.79347,Class 1
2.4603,-0.023004,Class 1
1.7804,0.82828,Class 1
0.13553,0.6257,Class 1
0.028382,0.29072,Class 1
2.2685,0.18844,Class 1
1.4214,1.0029,Class 1
0.07247,0.50761,Class 1
1.6023,0.75786,Class 1
0.92112,1.0609,Class 1
0.23309,0.52689,Class 1
2.2799,-0.059214,Class 1
2.4245,0.16483,Class 1
2.1859,0.11211,Class 1
2.24,0.52572,Class 1
1.8771,0.96456,Class 1
0.35237,0.85482,Class 1
-0.057139,-0.064273,Class 1
1.2024,0.85977,Class 1
2.3127,0.28635,Class 1
2.3642,0.30405,Class 1
1.8637,0.69768,Class 1
0.19045,0.55306,Class 1
0.055826,0.6796,Class 1
-0.049945,0.51384,Class 1
2.5375,0.079516,Class 1
-0.21004,0.13758,Class 1
-0.16483,0.15127,Class 1
0.7575,1.1271,Class 1
0.75529,0.86058,Class 1
2.175,0.52938,Class 1
0.91882,0.94139,Class 1
2.2575,0.5398,Class 1
2.3827,0.30633,Class 1
1.7784,1.0293,Class 1
2.5737,-0.071679,Class 1
0.93339,1.0095,Class 1
-0.14889,-0.20617,Class 1
-0.004951,0.38764,Class 1
2.1706,0.56345,Class 1
0.029054,0.67196,Class 1
0.25013,0.8796,Class 1
1.8504,0.92474,Class 1
-0.33182,-0.085385,Class 1
1.2024,0.98017,Class 1
2.2201,0.61776,Class 1
1.3891,0.93298,Class 1
-0.16107,-0.23811,Class 1
1.866,0.93042,Class 1
-0.11458,-0.28307,Class 1
1.6667,0.76017,Class 1
0.21528,0.74071,Class 1
1.3716,1.041,Class 1
1.3251,0.93637,Class 1
0.3198,0.79536,Class 1
0.018634,0.51764,Class 1
1.3455,0.96953,Class 1
2.2053,0.6286,Class 1
1.4921,1.0113,Class 1
0.1376,0.3664,Class 1
2.054,0.58347,Class 1
0.33773,0.67876,Class 1
0.65037,1.1276,Class 1
2.12,0.37703,Class 1
1.5634,1.1024,Class 1
2.0079,0.8843,Class 1
2.4613,0.18095,Class 1
0.61055,0.80325,Class 1
1.2511,1.181,Class 1
0.78475,0.87578,Class 1
1.6509,1.0804,Class 1
2.0627,0.5476,Class 1
-0.099478,0.15936,Class 1
0.38953,0.77655,Class 1
0.18856,0.65182,Class 1
2.5296,0.055182,Class 1
-0.21751,-0.11962,Class 1
1.2977,0.98902,Class 1
0.40847,0.94773,Class 1
1.0783,1.0307,Class 1
2.5497,-0.27461,Class 1
0.80579,0.95908,Class 1
-0.025584,0.041192,Class 1
1.2015,1.1067,Class 1
-0.052566,0.035673,Class 1
-0.044778,0.27902,Class 1
1.1194,0.87013,Class 1
0.50933,0.77534,Class 1
2.2265,0.10424,Class 1
-0.12796,-0.20433,Class 1
0.65085,1.1068,Class 1
-0.18848,0.22795,Class 1
-0.20073,-0.29433,Class 1
1.5686,0.76447,Class 1
2.1297,0.43353,Class 1
0.73385,0.92947,Class 1
0.28146,0.76712,Class 1
0.87727,1.1637,Class 1
2.2681,-0.085017,Class 1
2.2863,0.45034,Class 1
1.7012,1.0569,Class 1
0.06813,0.41528,Class 1
0.94559,1.1133,Class 1
2.02,0.7394,Class 1
2.5413,-0.27968,Class 1
0.081513,0.41252,Class 1
0.95225,0.90293,Class 1
0.71957,1.0806,Class 1
1.1125,0.90071,Class 1
2.2313,-0.006716,Class 1
2.2858,0.50212,Class 1
1.2744,1.1295,Class 1
0.55337,0.82373,Class 1
1.1649,0.94959,Class 1
-0.30067,-0.27696,Class 1
0.98906,1.0304,Class 1
1.3181,1.039,Class 1
1.3363,1.0593,Class 1
-0.030571,0.037696,Class 1
2.2437,0.63807,Class 1
1.14,0.96108,Class 1
2.1644,0.34167,Class 1
1.1446,1.1722,Class 1
-0.36566,-0.22934,Class 1
2.416,0.31593,Class 1
1.7793,0.66808,Class 1
0.98604,1.1619,Class 1
-0.7122,-0.96626,Class 2
-1.1868,-0.30989,Class 2
-0.65473,-0.94835,Class 2
-0.63271,-1.0212,Class 2
-0.7647,-0.88866,Class 2
-1.0881,-0.59798,Class 2
-0.40431,-1.4026,Class 2
0.94224,-0.85521,Class 2
0.77193,-0.9719,Class 2
1.2958,-0.27165,Class 2
0.40895,-1.2713,Class 2
-1.2256,-0.73086,Class 2
-0.09949,-1.4003,Class 2
1.4221,-0.21537,Class 2
1.0016,-0.95079,Class 2
-0.80185,-0.86201,Class 2
-0.54812,-1.1386,Class 2
0.4608,-1.3772,Class 2
-0.27416,-1.3652,Class 2
-0.5048,-1.2252,Class 2
-0.96422,-0.64143,Class 2
1.3686,-0.14847,Class 2
0.56854,-1.0944,Class 2
-1.2127,-0.35909,Class 2
-1.1942,-0.7379,Class 2
-0.51782,-1.2204,Class 2
0.5105,-1.1167,Class 2
0.12574,-1.3135,Class 2
1.2527,-0.20247,Class 2
-0.39283,-1.3432,Class 2
0.79393,-0.94418,Class 2
-0.2811,-1.3161,Class 2
-1.2987,-0.010395,Class 2
0.85387,-0.99924,Class 2
-1.1533,-0.90354,Class 2
1.1474,-0.57109,Class 2
-1.0985,-0.36562,Class 2
-0.25015,-1.4585,Class 2
1.1853,-0.43877,Class 2
0.93184,-1.1288,Class 2
1.0658,-0.97028,Class 2
1.4904,-0.021911,Class 2
1.1099,-0.78114,Class 2
0.53526,-1.3676,Class 2
1.0056,-0.66085,Class 2
-0.324,-1.2509,Class 2
-0.39828,-1.4441,Class 2
-0.33641,-1.4495,Class 2
-1.3087,-0.53068,Class 2
-1.2026,-0.02643,Class 2
1.3872,-0.26196,Class 2
-0.67608,-1.1978,Class 2
1.4405,-0.32434,Class 2
-0.72295,-1.2967,Class 2
-1.4267,-0.14794,Class 2
-0.89084,-1.0055,Class 2
1.2131,-0.42037,Class 2
0.56348,-1.1004,Class 2
-0.14786,-1.2455,Class 2
-0.50213,-1.3976,Class 2
0.2696,-1.3822,Class 2
-0.80601,-1.1625,Class 2
0.37972,-1.2288,Class 2
1.2967,-0.43934,Class 2
-1.3115,-0.16771,Class 2
-1.1283,-0.58495,Class 2
-1.1772,-0.10506,Class 2
-0.11486,-1.3012,Class 2
-0.50562,-1.401,Class 2
-1.0577,-0.8134,Class 2
-0.7364,-1.1653,Class 2
-0.18301,-1.1799,Class 2
-0.82645,-0.86062,Class 2
0.35836,-1.2211,Class 2
-1.2118,-0.43172,Class 2
0.4435,-1.3042,Class 2
-1.2161,-0.019359,Class 2
0.87162,-0.8092,Class 2
-1.3952,-0.004612,Class 2
-1.019,-0.88272,Class 2
-0.089002,-1.2048,Class 2
1.1751,-0.20364,Class 2
-0.083196,-1.1496,Class 2
-0.50931,-1.332,Class 2
-1.0302,-0.53281,Class 2
0.37557,-1.4514,Class 2
0.72003,-1.2337,Class 2
-0.76445,-1.1636,Class 2
0.68185,-0.98031,Class 2
-1.358,-0.15572,Class 2
1.2353,-0.24,Class 2
0.99608,-0.8809,Class 2
-0.70541,-0.98603,Class 2
-0.62762,-1.1028,Class 2
0.56195,-1.2149,Class 2
-0.49122,-1.0489,Class 2
1.1048,-0.96428,Class 2
0.64456,-1.0439,Class 2
0.022384,-1.4657,Class 2
-0.024514,-1.1908,Class 2
1.3112,-0.69189,Class 2
-0.9672,-1.0452,Class 2
-0.57191,-1.1844,Class 2
0.68884,-1.2251,Class 2
-0.79786,-1.1127,Class 2
-0.84245,-1.1245,Class 2
-1.4951,-0.010721,Class 2
-1.3314,-0.3116,Class 2
-1.298,-0.1393,Class 2
-1.3738,-0.005175,Class 2
1.1954,-0.1386,Class 2
-0.072293,-1.3537,Class 2
-0.79464,-1.1203,Class 2
-0.87063,-0.91681,Class 2
-1.3077,-0.49906,Class 2
1.0439,-0.7965,Class 2
-1.2027,-0.80385,Class 2
0.78425,-0.86431,Class 2
-1.2952,-0.47996,Class 2
0.58703,-1.1346,Class 2
1.1306,-0.92185,Class 2
1.3291,-0.59567,Class 2
1.2186,-0.037012,Class 2
0.39861,-1.1314,Class 2
-1.2668,-0.28681,Class 2
1.3474,-0.10799,Class 2
-1.398,-0.022069,Class 2
-1.1289,-0.53602,Class 2
1.2747,-0.743,Class 2
0.65069,-1.0874,Class 2
1.0805,-0.71043,Class 2
0.82225,-0.98791,Class 2
1.3736,-0.25698,Class 2
-0.47274,-1.3855,Class 2
-1.3534,-0.091919,Class 2
-0.86688,-1.111,Class 2
1.3108,-0.32016,Class 2
-0.94,-1.0842,Class 2
1.1282,-0.27945,Class 2
-1.2843,-0.16456,Class 2
-1.068,-0.70739,Class 2
-1.2739,-0.21111,Class 2
1.0043,-0.87979,Class 2
0.54671,-1.1038,Class 2
0.21829,-1.1832,Class 2
-1.4761,-0.26666,Class 2
-1.4408,-0.16234,Class 2
-1.3116,-0.57563,Class 2
1.3907,-0.46775,Class 2
0.5599,-1.2139,Class 2
1.2249,-0.46961,Class 2
-0.4765,-1.2388,Class 2
-0.048294,-1.3518,Class 2
-0.53484,-1.1638,Class 2
0.6606,-1.3142,Class 2
0.96532,-1.0132,Class 2
-1.0388,-0.8954,Class 2
1.1775,-0.60299,Class 2
-1.0041,-0.60811,Class 2
-0.57911,-1.183,Class 2
1.3335,-0.19589,Class 2
0.74205,-0.92039,Class 2
-1.157,-0.028239,Class 2
-0.095942,-1.2368,Class 2
0.058642,-1.1612,Class 2
-1.2557,-0.16693,Class 2
-0.58718,-1.1897,Class 2
-0.31456,-1.3023,Class 2
-1.1962,-0.3136,Class 2
-0.18587,-1.394,Class 2
0.38386,-1.3711,Class 2
-0.16357,-1.1644,Class 2
0.48797,-1.2615,Class 2
1.255,-0.54663,Class 2
0.96864,-0.87773,Class 2
-0.70302,-1.2346,Class 2
-1.1831,-0.67375,Class 2
-0.88667,-0.86952,Class 2
0.99024,-0.598,Class 2
-0.34885,-1.2528,Class 2
-1.2691,-0.42045,Class 2
0.83405,-1.21,Class 2
0.45259,-1.2088,Class 2
0.1624,-1.1758,Class 2
-1.3771,-0.23045,Class 2
0.65344,-1.3047,Class 2
0.10222,-1.4453,Class 2
-0.64719,-1.0372,Class 2
0.92984,-1.1269,Class 2
0.27267,-1.4019,Class 2
-0.62062,-1.0799,Class 2
0.2039,-1.4024,Class 2
-1.0204,-0.95229,Class 2
1.0774,-0.99053,Class 2
0.54509,-1.273,Class 2
-0.25722,-1.1537,Class 2
-1.3283,-0.66643,Class 2
0.96495,-1.0831,Class 2
-0.51421,-1.096,Class 2
0.84649,-1.0975,Class 2
0.03618,-1.4459,Class 2
-1.1243,-0.46217,Class 2
1.1215,-0.73267,Class 2
1.0854,-0.74895,Class 2
-1.0769,-0.47408,Class 2
0.16309,-1.1718,Class 2
0.48928,-1.1546,Class 2
1.3212,-0.64901,Class 2
-0.478,-1.3502,Class 2
0.57003,-1.1751,Class 2
-1.4871,-0.14928,Class 2
1.3722,-0.40371,Class 2
-1.1137,-0.91811,Class 2
-0.41374,-1.2977,Class 2
-1.4509,-0.20829,Class 2
-0.13215,-1.4331,Class 2
-0.085276,-1.3044,Class 2
0.33225,-1.1983,Class 2
0.72423,-1.1277,Class 2
-1.2301,-0.39418,Class 2
-1.3051,-0.37643,Class 2
-0.43095,-1.3932,Class 2
-1.055,-0.97061,Class 2
1.0846,-0.83435,Class 2
-0.11868,-1.2377,Class 2
1.0941,-0.57811,Class 2
-0.96496,-0.76791,Class 2
0.011955,-1.2971,Class 2
-1.113,-0.74178,Class 2
1.313,-0.57401,Class 2
-0.423,-1.1943,Class 2
1.0525,-0.81671,Class 2
1.3098,-0.53607,Class 2
-0.36923,-1.3658,Class 2
0.21673,-1.3287,Class 2
-0.39402,-1.2614,Class 2
0.49674,-1.3186,Class 2
0.76088,-1.2269,Class 2
1.2339,-0.72257,Class 2
-1.4442,-0.34147,Class 2
-1.1751,-0.3795,Class 2
-0.31339,-1.1498,Class 2
-1.4304,-0.19121,Class 2
-1.3712,-0.11397,Class 2
1.0785,-0.84573,Class 2
-0.84794,-1.1133,Class 2
-0.66557,-1.3265,Class 2
0.5015,-1.2608,Class 2
0.82827,-1.1107,Class 2
-1.3122,-0.29192,Class 2
